,carat,clarity,color,cut,depth,table,price,volume
0,0.5,1.0,1.0,2.0,,56.63708915563416,3000.0,84.048
1,0.7,5.0,2.0,3.0,62.0,59.0,4500.0,114.40359640712468
2,0.18381727845662565,3.0,5.0,1.0,62.3,56.0,700.0,49.58466438596987
3,1.2,1.0,1.0,2.0,,58.0,10000.0,194.83652988728372
4,0.9,0.0,7.0,0.0,,56.969120663841245,2400.0,133.15150885251524
5,0.8144264006122017,2.0,4.0,4.0,62.33456852984006,57.0,4200.0,126.78864000000002
6,0.5,1.0,1.0,2.0,,57.0,3100.0,83.80971722518227
7,0.4,4.0,3.0,1.0,62.142961411153216,56.42864863729869,1500.0,67.8264
8,0.1859840432531854,3.0,6.0,1.0,62.3,56.21267346870087,327.2812570244714,49.80794096984647
9,1.0,4.0,3.0,2.0,62.40824040487438,58.0,7500.0,164.73232743224813
10,0.5,2.0,0.0,3.0,,58.0,11102.189774912695,86.95710179090065
11,0.4,5.0,4.0,4.0,,56.0,1400.0,72.34845006659849
12,0.7416717498531606,3.0,7.0,0.0,62.36218749217549,54.0,2000.0,115.21638000000002
13,1.1,4.0,2.0,3.0,62.4622909049786,57.0,9200.0,177.73344685445647
14,0.55,3.0,5.0,1.0,62.0,56.647528287725535,1800.0,91.91910536044483
15,0.19949945082299614,5.0,6.0,1.0,,57.0,3488.8294175654883,51.96004
16,0.5,2.0,4.0,4.0,62.22272359727707,56.0,2300.0,86.16000683287092
17,1.0,1.0,1.0,2.0,,58.0,,169.30238785420246
18,0.6,3.0,5.0,1.0,62.260858048083016,57.0,2200.0,103.89888322099657
19,0.7,0.0,7.0,0.0,,56.88620734991659,2100.0,119.56231066503048
20,0.8926637055987374,4.0,3.0,2.0,61.8,57.0,6000.0,146.3085
21,1.3,2.0,4.0,3.0,,60.0,10500.0,205.99792160613842
22,1.4,1.0,1.0,1.0,62.4,59.0,11000.0,222.09234617122232
23,0.2909281271971289,5.0,2.0,1.0,62.114457594989105,56.0,800.0,60.0438
24,1.6,0.0,6.0,0.0,62.6619498136927,54.0,3400.0,239.148
25,0.2,2.0,5.0,4.0,62.1,56.07083249198569,500.0,36.562110000000004
26,0.35,1.0,4.0,2.0,61.9,56.0,1300.0,56.95213130125234
27,0.29039489313884026,5.0,4.0,1.0,62.2,57.0,1600.0,59.665534403594876
28,0.55,0.0,7.0,3.0,62.1,56.68557367514173,2500.0,98.04780000000001
29,1.1256620010397564,4.0,1.0,2.0,62.46055816059793,58.0,7700.0,186.57155000000003
30,0.65,3.0,0.0,4.0,62.3,58.0,2900.0,108.88439538872338
31,1.5,5.0,3.0,1.0,62.7,59.0,10800.0,228.8174028831743
32,0.9,3.0,5.0,0.0,62.4,56.944640153669766,2600.0,141.11496
33,1.2016527133211863,4.0,2.0,3.0,62.2,57.0,9300.0,203.43475558689488
34,0.45,3.0,6.0,1.0,62.1,56.0,1700.0,73.22641501771274
35,0.6,5.0,4.0,1.0,62.236682128571516,58.0,2800.0,102.65473553315464
36,0.5701831534657504,2.0,3.0,4.0,62.0,57.0,2700.0,92.87189999999998
37,0.95,1.0,1.0,2.0,62.6,58.0,9400.0,154.90331628999368
38,1.05,3.0,7.0,1.0,62.7,57.13182850539521,8500.0,176.89480435792967
39,0.8058641229425412,0.0,4.0,0.0,61.9,55.0,2200.0,126.89667893872083
40,0.45,3.0,5.0,2.0,62.1,56.0,1500.0,69.63936
41,0.9201686846498816,1.0,3.0,3.0,61.9,58.0,5900.0,147.84347118535416
42,0.85,4.0,6.0,1.0,62.2,55.0,4800.0,121.70701566725
43,0.95,5.0,1.0,1.0,62.4,57.04284152506666,7300.0,155.43422999999999
44,0.8606334410977414,2.0,2.0,0.0,62.41755608687994,54.0,2700.0,134.4879611180106
45,0.35,1.0,4.0,4.0,62.0,57.0,1400.0,60.358526454816136
46,0.55,5.0,7.0,2.0,62.3,56.0,2600.0,97.60290783188815
47,0.3663492607326333,0.0,1.0,1.0,61.8,56.460977644048015,1200.0,68.05632
48,1.05,4.0,3.0,3.0,62.45515798130873,58.0,9500.0,185.11899
49,0.75,3.0,4.0,1.0,62.5,57.0,3800.0,115.06575963254863
50,0.65,2.0,0.0,4.0,62.6,56.714941156886724,3300.0,108.74304
51,1.4,5.0,5.0,1.0,62.7,59.0,11200.0,221.85367410747082
52,0.3,0.0,6.0,0.0,62.1,55.0,600.0,53.082410462181805
53,0.5,4.0,2.0,3.0,62.18488018369624,58.0,2900.0,87.75848154454921
54,1.3,3.0,3.0,1.0,62.3,57.0,9900.0,202.95132448187618
55,1.1622252600595577,5.0,1.0,1.0,62.457713718349744,59.0,8100.0,194.95667999999998
56,0.4,2.0,7.0,4.0,62.2,56.421695761332614,1400.0,67.91423999999999
57,1.15,1.0,4.0,2.0,62.0,58.0,9800.0,170.24877035346407
58,0.8050271764774384,0.0,5.0,1.0,62.4,56.85070731142831,2100.0,125.93196
59,0.55,3.0,6.0,0.0,62.1,54.0,1700.0,92.2792054740606
60,0.6,5.0,1.0,3.0,62.274596538175196,57.0,3700.0,108.74304
61,0.8839353573668176,2.0,3.0,4.0,62.1,59.0,5000.0,141.24338966789176
62,0.35,0.0,4.0,2.0,62.0,56.32912862312007,900.0,56.74859999999999
63,0.75,4.0,5.0,1.0,62.3,56.0,4600.0,121.36944020582231
64,0.8096642287757136,3.0,2.0,0.0,62.2,54.0,2500.0,126.26828541615883
65,1.05,1.0,6.0,3.0,62.43907405292061,58.0,9600.0,177.89046
66,0.4,5.0,7.0,1.0,62.1,56.39730054537945,1800.0,64.14513000000001
67,0.55,0.0,4.0,4.0,62.4,57.0,2300.0,92.06031037662757
68,1.15757444823838,4.0,5.0,2.0,62.2,57.26514836934291,7900.0,194.38412
69,0.7,3.0,1.0,1.0,62.5,56.769729153507576,4000.0,114.48849
70,0.9,2.0,0.0,3.0,62.3,59.0,6600.0,148.3341735953349
71,0.5,5.0,3.0,1.0,62.6,58.0,3100.0,87.05472683488453
72,0.45,0.0,6.0,0.0,62.19857961607515,54.0,1100.0,68.80224
73,1.2,4.0,2.0,3.0,62.7,58.0,10200.0,194.28798762549016
74,0.65,3.0,4.0,1.0,62.276732973898966,57.0,3500.0,108.62488
75,0.55,5.0,1.0,4.0,62.4,56.0,2800.0,97.16726330411883
76,1.3,2.0,5.0,2.0,62.8,59.0,9900.0,203.97057533317576
77,0.75,1.0,3.0,1.0,62.5,57.0,4700.0,126.91907938725387
78,0.8547761780216439,0.0,2.0,0.0,62.6,55.0,2600.0,133.29710599540002
79,0.5,3.0,6.0,4.0,62.1,56.0,2200.0,82.53445238614972
80,0.85,5.0,2.0,3.0,62.33367277297495,58.0,6500.0,134.9514
81,0.7392396586374219,0.0,4.0,2.0,62.4,56.0,1900.0,116.05590256856684
82,1.1,3.0,5.0,0.0,62.5,54.0,7100.0,177.16611191566412
83,0.9727579953994492,4.0,1.0,1.0,62.409393385065144,57.0,7800.0,156.07872
84,0.9,2.0,6.0,4.0,62.2,59.0,6700.0,148.43109244711326
85,0.5,5.0,3.0,3.0,62.1,58.0,3200.0,88.09898981432518
86,0.6534715280651517,0.0,0.0,1.0,62.3,56.0,2400.0,103.13887674056804
87,0.4,1.0,4.0,2.0,62.11465176604961,57.0,2600.0,64.14513000000001
88,1.15,5.0,5.0,0.0,62.6,57.194104373849996,9200.0,186.12197999999998
89,0.7781818078018485,3.0,2.0,4.0,62.35935349113769,55.0,3000.0,121.4260245738549
90,0.7,2.0,6.0,3.0,62.7,58.0,4100.0,114.28727999999998
91,0.65,4.0,1.0,1.0,62.4,56.0,3600.0,107.72835764352007
92,1.25,1.0,4.0,2.0,62.46112230900576,59.0,10300.0,195.23711942200174
93,0.55,0.0,3.0,0.0,62.1,54.0,2300.0,91.87127273268632
94,0.6,3.0,2.0,3.0,62.2,57.0,3400.0,102.7374987130093
95,1.0121758074558267,5.0,1.0,1.0,62.42546350608296,57.08661864443111,8000.0,163.11936
96,0.75,2.0,6.0,4.0,62.3,56.869357080190454,4400.0,126.6258
97,1.4,4.0,2.0,3.0,62.7,58.0,11500.0,222.46214976824103
98,0.8189415439825618,0.0,3.0,1.0,62.8,55.0,2500.0,126.93373921466822
99,0.45,3.0,5.0,2.0,62.15465714617043,56.0,1500.0,68.28624
100,0.95,3.0,4.0,4.0,62.4291042704779,56.0,6800.0,155.83175999999997
101,1.05,0.0,0.0,3.0,62.5,57.0,7300.0,185.17307718339342
102,0.55,4.0,5.0,1.0,62.1,58.0,3100.0,91.8084401869815
103,0.65,3.0,6.0,0.0,62.29736320493866,56.0,3300.0,108.31183999999999
104,1.0467816699075256,5.0,2.0,3.0,62.3,57.13649219196743,7700.0,170.52945
105,0.8,1.0,3.0,1.0,62.35062463978315,57.0,5900.0,133.9629331838067
106,1.15,2.0,4.0,4.0,62.6,58.0,9300.0,195.24295999999998
107,1.0088996170098987,5.0,1.0,0.0,62.4,57.08671604146864,7900.0,162.85194973965844
108,0.7,3.0,5.0,2.0,62.5,56.76783023135313,4200.0,113.96351999999999
109,1.3,0.0,6.0,3.0,62.7,56.0,9800.0,212.20665504753495
110,0.4,4.0,3.0,1.0,62.171771092926576,55.0,2700.0,67.77215999999999
111,0.6777715342191888,3.0,2.0,1.0,62.2,59.0,2900.0,107.80239927793238
112,0.85,1.0,1.0,4.0,62.389436189651214,56.0,6500.0,140.42321999999996
113,1.2,5.0,4.0,0.0,62.8,54.0,10100.0,203.09909996357345
114,0.5,2.0,5.0,3.0,62.3,57.0,3000.0,82.20553137424963
115,1.05,0.0,6.0,4.0,62.4391279294612,58.0,7400.0,177.45552
116,0.45,5.0,2.0,1.0,62.4,55.0,2600.0,72.23358904444923
117,0.75,3.0,3.0,2.0,62.333628525092934,56.0,4600.0,120.14293999999997
118,0.9633184333422493,1.0,4.0,3.0,62.5,57.0,7200.0,153.7769503809048
119,0.6,4.0,5.0,1.0,62.1,56.0,3600.0,102.81938299846541
120,0.9,3.0,5.0,3.0,62.34645476893278,59.0,6800.0,147.84768
121,1.1,4.0,2.0,4.0,62.2,56.0,9500.0,186.32102824520368
122,1.0490457415481145,1.0,6.0,1.0,62.42505385976153,58.0,7600.0,171.21519999999998
123,0.45,2.0,3.0,0.0,62.5,54.0,2100.0,72.4622744780106
124,0.7,5.0,4.0,2.0,62.4,55.0,4300.0,114.96609173748112
125,0.616472402779987,0.0,0.0,3.0,62.26434545380226,56.0,2200.0,97.86690000000002
126,0.8,5.0,5.0,4.0,62.7,57.0,6300.0,133.91889004527445
127,1.25,3.0,1.0,1.0,62.497500435164184,58.0,10400.0,202.92920547355817
128,0.55,2.0,6.0,0.0,62.6,56.629694277952744,2800.0,96.92298000000001
129,0.9631893288673301,4.0,2.0,3.0,62.3,59.0,7800.0,155.0675199651521
130,0.65,0.0,4.0,4.0,62.29639154573362,56.0,3400.0,108.23624000000001
131,1.3,3.0,5.0,0.0,62.7,58.0,10200.0,212.46448151297804
132,0.5,4.0,6.0,2.0,62.8,55.0,3200.0,86.9828227746004
133,0.85,3.0,3.0,4.0,62.36982143057019,57.0,6400.0,140.88438
134,0.6869526613687431,0.0,4.0,1.0,62.4,59.0,2300.0,108.55000535874039
135,1.05,5.0,2.0,2.0,62.6,57.15377003430455,9300.0,178.70028
136,0.4,2.0,3.0,0.0,62.1,56.0,2400.0,64.59326909853401
137,1.2,4.0,4.0,3.0,62.47883812919936,58.0,10100.0,194.32454748927586
138,0.806061554023008,0.0,5.0,4.0,62.5,57.0,2600.0,126.6258
139,0.75,3.0,6.0,1.0,62.351518333807846,56.0,4500.0,126.49364
140,0.95,5.0,4.0,2.0,62.40354348579098,58.0,6900.0,162.86528
141,1.15,2.0,3.0,4.0,62.53483211409347,56.0,9600.0,202.70543999999998
142,0.55,4.0,5.0,0.0,62.3,59.0,3100.0,92.63092316589362
143,1.054219217734997,1.0,6.0,3.0,62.6,57.108693684798816,7700.0,170.79139999999998
144,0.65,3.0,2.0,1.0,62.29710236039919,56.0,3300.0,108.43056
145,0.8,0.0,4.0,0.0,62.5,57.0,4000.0,139.76372629241868
146,1.0559989037890554,5.0,5.0,3.0,62.7,58.0,7900.0,171.4778
147,1.3,2.0,0.0,4.0,62.57524148123232,56.0,10300.0,221.23350928474127
148,0.7,4.0,6.0,0.0,62.35287694782805,55.0,4300.0,120.14293999999997
149,0.4,3.0,3.0,3.0,62.4,58.0,2100.0,67.85896978260176
150,1.05,0.0,4.0,1.0,62.497386134753,56.0,7400.0,185.28984
151,0.85,5.0,5.0,0.0,62.2,57.0,6500.0,148.1663632500377
152,0.7352643690208094,2.0,6.0,4.0,62.8,56.74094210791689,4100.0,114.16416
153,0.45,4.0,4.0,2.0,62.1,59.0,2600.0,72.85979668077304
154,1.2,3.0,3.0,3.0,62.5,56.0,10100.0,202.70543999999998
155,0.5,4.0,6.0,0.0,62.6,57.0,3200.0,82.84447843328067
156,0.6,2.0,4.0,4.0,62.281492316609324,56.0,3500.0,103.8312
157,1.4,5.0,5.0,1.0,62.7,58.0,12000.0,230.99372390101735
158,1.0158576616141626,1.0,6.0,0.0,62.46875869463287,55.0,8000.0,162.86528
159,0.75,2.0,3.0,3.0,62.3,59.0,4600.0,127.62054
160,1.1,5.0,3.0,0.0,62.49580042515997,57.0,9400.0,194.38412
161,0.4,2.0,6.0,3.0,62.2,55.0,2200.0,64.11461631695526
162,0.6127126646725123,0.0,4.0,4.0,62.2024982713767,59.0,2400.0,98.2287
163,0.75,4.0,5.0,1.0,62.7,56.0,4400.0,126.94844402465881
164,1.35,3.0,2.0,2.0,62.8,57.0,10700.0,231.46413062995103
165,1.0966768993507716,4.0,6.0,0.0,62.6,55.0,7900.0,178.43033999999997
166,0.9,3.0,4.0,3.0,62.384365494101175,58.0,6900.0,155.03669999999997
167,0.6,1.0,5.0,4.0,62.27897562161697,56.0,3600.0,102.96495
168,0.7314000108023748,0.0,6.0,2.0,62.4,57.0,2500.0,114.70291931594402
169,0.85,5.0,3.0,3.0,62.34439704542889,59.0,6600.0,147.75445432038003
170,1.25,3.0,4.0,0.0,62.3,58.0,10500.0,203.5946685307216
171,0.5,4.0,5.0,4.0,62.1,57.0,3100.0,87.03341354603306
172,0.95,3.0,1.0,1.0,62.44303384849251,56.0,7100.0,161.69472
173,1.0066470685236073,1.0,6.0,4.0,62.2,58.0,7600.0,163.57391969440826
174,0.45,4.0,2.0,3.0,62.5,55.0,2500.0,68.87409446944837
175,1.3,2.0,4.0,2.0,62.53866018634509,57.0,9900.0,212.9638
176,1.091113492240833,5.0,5.0,0.0,62.6,58.0,8100.0,178.89645345799917
177,0.7,3.0,6.0,4.0,62.331456308420236,56.0,4200.0,119.80827999999998
178,0.55,4.0,3.0,1.0,62.4,59.0,3300.0,96.72502153212949
179,1.2,0.0,4.0,3.0,62.7,57.22983620315256,10100.0,194.95667999999998
180,1.05,5.0,3.0,4.0,62.44415125565894,58.0,9200.0,180.38790000000003
181,0.35,2.0,6.0,3.0,62.3,56.0,2100.0,56.18893950599609
182,0.5294796598901144,0.0,4.0,2.0,62.17161546872163,57.0,,88.01104000000001
183,0.8,4.0,5.0,0.0,62.330385616246495,58.0,4900.0,134.1432
184,1.4,3.0,1.0,4.0,62.6,59.0,,242.1399348998146
185,1.054202369300444,4.0,5.0,1.0,62.6,57.109511313227536,7900.0,170.79139999999998
186,0.5,3.0,2.0,3.0,62.5,55.0,2900.0,82.66090245027011
